estnombre,estlatitude,estlongitude,valor
21 de Octubre,14.1833,-87.17445,63.7
Acajutla Puerto Nuevo,13.5678,-89.8472,595.3
Aeropuerto De Ilopango,13.6858,-89.1186,428.7
Agua Caliente,14.58,-87.1525,59.6
"Alameda Icta, Chimaltenango",14.6338,-90.8033,149.7
Amapala,13.2833,-87.6608,290.5
Asuncion Mita,14.33,-89.71,132.4
Bajo Grande,8.85,-82.5592,37.6
Baldy Beacon,17.0041,-88.791,70.1
Balfate,15.7333,-86.4067,6.3
Belmopan,17.25,-88.76667,38.0
Big Falls Plantation,16.26667,-88.78333,56.2
Big Falls South,16.2666,-88.8833,53.0
Calovebora,8.787,-81.2033,36.4
Camantulul,14.32,-91.05,366.4
"Camotan, Chiquimula",14.8205,-89.3727,8.0
Catacamas,14.833,-85.8811,3.8
"Catie, Turrialba",9.8902,-83.653,2.4
Central Farm,17.18333,-89.0,59.8
Cha Creek,17.0666,-89.15,322.5
Chepo Esc. Granja,9.17,-79.1,90.8
Chinandega,12.6333,-87.1333,449.8
Choluteca,13.1905,-87.0913,270.2
CHORRERA EL GUAYABO,13.99,-88.76,189.7
Coban,15.46,-90.41,16.9
Coto 47,8.5938,-82.9683,40.4
"Cubulco, Baja Verapaz",15.1088,-90.6141,26.2
Cutuco Corsain,13.3181,-87.8133,250.9
David,8.4,-82.4236,26.9
Divisa,8.1,-80.6947,64.5
Efa San Marcos,14.95,-91.81,235.8
El Capitan,14.64,-91.14,288.9
El Cope,8.6333,-80.5931,75.0
El Tablon,14.79,-91.18,313.0
Esquipulas,14.5596,-89.3414,92.2
Flores,16.91,-89.87,69.6
Flores,14.233,-87.5592,24.2
Galeras Santa Barbara,14.9353,-88.2419,18.3
Gales Point Manatee,17.2,-88.3333,114.5
Gualaca Ii,8.51,-82.305,205.3
Guija,14.2186,-89.4744,154.6
Hacienda El Carmen,10.2002,-83.4794,1.5
Huehuetenango,15.31,-91.5,53.8
Icacal,9.2,-80.1525,56.2
Insivumeh,14.58,-90.53,99.6
Jacaleapa,14.0167,-86.6778,37.9
Jinotega,13.085,-85.9966,25.4
Labor Ovalle,14.87,-91.51,225.5
La Ceiba,15.7333,-86.8642,12.9
La Democracia,17.3333,-88.55,74.5
La Esperanza,14.29344,-88.17725,77.4
La Fragua,14.96,-89.58,9.8
Lag. La Yeguada,8.45,-80.8642,165.4
La Hachadura,13.8517,-90.0847,535.7
La Labor,14.4667,-89.0169,32.9
La Lola,10.0916,-83.3922,1.8
La Mesa,15.4333,-87.9489,74.4
"La Piñera, Pacífico Sur",9.1375,-83.3177,65.0
Las Vegas,15.6,-88.97,67.8
"La Union, Zacapa",14.9633,-89.2911,5.0
León,12.4266,-86.9133,456.4
Lepaguare,14.4667,-86.4744,55.3
Libertad,18.28333,-88.46667,155.2
Linda Vista de El Guarco,9.8382,-83.9633,79.6
"LOS ESCLAVOS, CUILAPA",14.2527,-90.2783,305.9
Los Naranjos,8.78,-82.45,80.8
Los Santos,7.95,-80.4236,33.7
Managua,12.0933,-86.1636,97.0
Masatepe,11.8997,-86.1497,117.2
Maya King,16.7166,-88.4166,8.5
Melinda,16.98333,-88.31667,23.1
Middlesex,17.0166,-88.5166,34.9
Montufar,13.8,-90.16,539.7
Nandaime,11.7216,-86.0466,90.3
Nebaj,15.39,-91.14,17.7
Ocotal,13.625,-86.4766,41.1
Ocotepeque,14.43288,-89.19454,49.8
Ojo De Agua,8.2,-81.5253,30.8
"Olanchito, Yoro",15.4679,-86.5616,22.4
"Omoa, Cortes",15.7713,-88.0407,18.3
Paja De Sombrero,8.68,-82.32,163.2
"Pasabién, Zacapa",15.03,-89.68,40.7
Pedasi,7.5167,-80.01,45.2
Philip Goldson Airport,17.53333,-88.3,99.7
Pomona,16.9833,-88.3666,95.7
Pot. Carrillo,14.7605,-89.9322,62.2
Puerto Barrios,15.73,-88.59,113.3
Puerto Cabezas,14.0444,-83.375,0.9
Puerto Lempira,15.2,-83.8133,104.2
Punta Gorda Agstat,16.1333,-88.85,23.0
Quebrada Azul,10.4033,-84.4725,128.3
Rancho Redondo,9.58,-83.58,120.1
Retalhuleu Aeropuerto,14.52,-91.7,596.8
Rio Bravo,17.78333,-88.98333,77.9
Rivas,11.435,-85.8333,93.3
Roatan,16.3156,-86.5285,8.5
Sabanagrande,13.8,-87.2542,251.3
"SABANA GRANDE, ESCUINTLA",14.3675,-90.83,185.8
Sacapulas,15.29,-91.09,25.5
San Carlos,11.1416,-84.7661,50.6
San Isidro,12.9133,-86.1916,27.4
San Jeronimo R.H,15.06,-90.25,31.9
San Jose Aeropuerto,13.93,-90.83,616.4
SAN MARTIN JIL,14.7786,-90.7886,97.7
Santa Cruz Aalanya,14.68,-90.92,185.1
Santa Fe,8.4667,-81.0847,137.5
Santa Lucia,14.1,-87.6778,33.7
Santa Rosa,14.78,-88.8133,124.4
Santiago,8.0867,-80.9828,52.3
Santiago Atitlan,14.63,-91.23,458.2
Savannah,16.51667,-88.43333,24.0
Spanish Lookout,17.21667,-88.98333,37.8
St. John's College,17.5166,-88.2,67.9
Suiza Contenta,14.61,-90.66,84.3
Tela,15.7667,-87.5253,8.4
The Belize Zoo,17.3666,-88.7166,49.5
Tocumen (E.T.E.S.A.),9.0656,-79.3897,41.4
Todos Santos,15.5,-91.6,58.6
Tonosi,7.4,-80.4575,25.4
Towerhill,18.03333,-88.56667,114.1
Trujillo,15.92579,-85.93867,35.4
Valle Rico,7.6167,-80.3558,40.0
Yoro,15.1333,-87.1356,40.7