latitude,longitude,data_value
14.84,-91.5,3.9
15.234,-91.973,10
14.92328,-91.54255,10.6
14.862,-91.506,11
14.86,-91.51,11.1
14.871,-91.621,11.3
14.73499,-91.0393,11.8
14.92,-91.36,12.1
14.869,-91.619,12.2
14.88,-91.46,12.2
14.834,-91.52,12.2
14.858,-91.59,12.8
14.797,-91.181,13.3
14.62,-90.65,13.6
15.05,-91.23,13.9
14.826,-91.22,13.9
14.686,-90.642,14.4
15.35,-91.45,14.4
15.38,-90.3,14.4
14.56,-90.67,14.4
14.61,-90.634,14.4
15.24,-91.68,14.6
15.317,-91.503,15
14.65,-90.612,15.2
14.552,-90.467,15.4
15.4,-91.15,15.6
14.77,-91.18,15.6
14.52,-90.47402,15.6
15.35,-90.87,15.6
14.72,-90,16
14.64115,-90.77496,16.1
14.58,-90.472,16.1
14.537,-90.6111,16.1
14.53,-90.38,16.1
14.628,-90.788,16.2
14.58,-90.565,16.4
14.4,-90.03,16.4
15.15,-90.18,16.7
15.03,-90.88,16.7
14.59,-90.59,16.9
14.74028,-91.1619,17.2
14.518,-90.621,17.2
14.62,-90.48,17.3
14.59828,-90.50798,17.4
14.464,-90.554,17.4
14.53,-90.19,17.5
14.62,-90.5,17.6
14.60977,-90.50535,17.6
14.54,-90.56,17.6
14.62,-90.51,17.6
14.52,-91.07,17.8
14.587,-90.533,17.8
14.667,-90.457,17.8
14.42,-89.78,17.8
14.624,-90.501,17.8
14.481,-90.535,17.8
14.58,-90.55428,17.8
14.637,-90.513,17.8
15.47191,-90.37383,17.8
14.524,-90.797,17.8
14.667,-90.494,17.8
15.47,-90.406,18
14.585,-90.526,18
14.38,-90.29,18.3
14.22,-90.44,18.4
14.57004,-89.3558,18.4
14.57,-89.36,18.5
14.46,-89.41,18.8
14.49,-90.61,18.9
15.11,-90.65,19.4
15.77,-91.24,19.7
14.824,-90.27,20
15.1,-90.32,20
14.568,-89.326,20
15.63,-91.78,20
14.93,-90.68,20.7
14.29,-89.73,21.6
14.437,-91.223,22.2
14.38,-91.43,22.8
15.99,-90.36,22.8
14.79515,-89.54824,23.2
15.99197,-90.44719,23.2
16.797,-89.93,23.3
14.08572,-91.0243,23.3
16.64,-89.65,23.3
16.2,-89.44,23.3
15.93,-90.55,23.3
14.1,-91.52,23.9
14.26825,-90.8247,23.9
16.06,-90.01,23.9
15.94,-89.24,23.9
14.12,-91.37,23.9
16.788,-90.117,23.9
14.51,-91.51,23.9
16.914,-89.866,24
14.523,-91.697,24
16.07,-90.07,24.1
15.57989,-88.92174,24.2
14.114,-90.75,24.4
17.06,-89.155,24.4
14.725,-92.04,24.4
14.95,-89.53,24.4
13.98,-90.21,24.4
14.959,-89.538,25
14.04,-90.08,25
14.51,-92.195,25
16.98,-89.9,25
15.737,-88.589,25
15.7339,-88.5958,25
13.93,-90.834,25
15.547,-88.56,25
15.615,-88.461,25.6